Name;Description;A feeling;B feeling;Type;;;;
whip;one arm up high above shoulder, arm moving down fast and up twice;disappointed+;attacked++;iconic, metaphoric, beats;;;;
relax;both arms hanging down to hip, no motion;disappointed+, inspired-;;iconic, metaphoric;;;;
give;both hands joint in front of torso, slightly opening palms, slightly moving front;;supported+;iconic, metaphoric;;;;
waving twice;looking right up, right arm up high waving vertically twice;attracted+;supported+;iconic, metaphoric;;;;
subtle agree;subtle nod, both hands slightly opening at height of hip;;supported+;iconic, metaphoric;;;;
folded arms;both arms vertically on top in front of chest, upright torso and straight frontal look;;repelled+;iconic, metaphoric;;;;
folded arms agree;moving feet close together, crossing arms vertically in front of chest, one nod, blue eyes;;supported+;iconic, metaphoric;;;;
z-shape claps ;both hands jointly close and open four times in z-trajectory in front of body;;supported+;beats;;;;
directing towards;one hand on hip, other arm stretched out hand with open palm moving up and down;;supported+;deictic;;;;
offering;both hands at height of hip move forwards with arms and open palms;;supported+;iconic, metaphoric, cohesive;;;;
throwing arms left;looking up left, on arm lower, one higher front of chest, both hands opening left upwards;inspired++;;iconic, metaphoric, deictic;;;;
throwing arms right;looking up right, on arm lower, one higher front of chest, both hands opening right upwards;inspired++;;iconic, metaphoric, deictic;;;;
hands on hips;both hands on the hips, elbows to the sides;;;iconic, metaphoric;;;;
attending left;left elbow square angle to front, torso slightly back left, head slightly to left ;;supported+;iconic, metaphoric, deictic;;;;
floor look;right hand on hip, torso leaning on hand in hip, staring slightly downwards;disappointed+;;iconic, metaphoric;;;;
hands on hips floor look;both hands on hips, elbows to sides, looking to floor to right, head slightly down;disappointed++;;iconic, metaphoric;;;;
slouch floor look;both hands closed at hip height, slightly slouched torso, head down fixed on floor, eyes cyan;disappointed++;;iconic, metaphoric;;;;
observing hand;raising one hand in front of face, opening and closing it, head following the hand;inspired++;;iconic, metaphoric;;;;
scratch head;right arm up, hand scratching head, head slightly down to left, eyes shine cyan;inspired--;;iconic, metaphoric;;;;
join hands;hands join at fingertips in front of chest;respected+;;iconic, metaphoric, cohesive;;;;
presenting front;both hands meet in front of body, height of hip, palms down, moving outward opening hands;;supported+;iconic, metaphoric, cohesive;;;;
hands on hips;both hands on hips, palms facing back closed, elbows to the sides;repelled+;;iconic, metaphoric;;;;
put right hand up;right arm up with hand open on height of face, other arm slightly to front with closed hand;inspired+;;iconic, metaphoric, deictic;;;;
hanging head/arms (blue);arms hanging down to the sides, head lowered, eyes blue and green;disappointed+++;;iconic, metaphoric;;;;
compress;legs move together, hands meet at height of hip, arms move slightly closer;disappointed++,attacked++;repelled+;iconic, metaphoric;;;;
hanging head/arms (orange);head hanging, arms hanging, slight slouch torso, eyes orange;disappointed+++;;iconic, metaphoric;;;;
hands near hips;hands slightly up on height of hips, no movement;;;iconic, metaphoric, cohesive;;;;
leaning backwards;slouching torso, head lumps down, arms fall from hip height downwards, knees slightly bent;disappointed+++,attacked++,disrespected++;repelled+;iconic, metaphoric;;;;
five chops;right hand on height of hip, stretched out hand moving slightly up and down 5 times;;supported+;beats;;;;
double skip;both hands jointly facing palms move horizontally with two horizontal bumps to three points;;supported+;iconic, metaphoric;;;;
left hand swipe;left arm squared angle, hand to front,upwards slightly moving from left to inwards right;;attracted+;iconic, metaphoric;;;;
shake out hands;hands front next to each other, palms open down, hands moving slightly up and down 4 times;disappointed+;;beats;;;;
greet;right arm up shoulder height, waving short horizontally;attracted+;;iconic, metaphoric;;;;
hand to chest;right hand on hip, left hand moving in front of chest with elbow out;;;iconic, metaphoric, cohesive;;;;
strike down;right arm squared angle lifted above shoulder, quickly striking down with hand open;;attacked++,disrespected+;iconic, metaphoric, beats;;;;
drop hands;hands losely in front of torso, left hand slightly higher, both hands drop slowly a bit;disappointed+;;iconic, metaphoric, beats;;;;
presenting left;both arms moving to the left in front of body on torso height, open palms;inspired++;inspired+;iconic, metaphoric, deictic;;;;
look at streched arm;arms first at hip height, then left arm reaching high up and frontal, head is following hand;inspired+++;;iconic, metaphoric, deictic;;;;
slight nod;slight nod, hands hang normal, palm slightly outward;inspired+;supported+;iconic, metaphoric;;;;
slight crouch;very sublte crouch, hands height of hip, one nod;;;iconic, metaphoric;;;;
pointing crouched;knees slighly bent, left hand in front of hip, right arm stretched out hand open, pointing to front;;disrespected+;iconic, metaphoric, deictic;;;;
slouch, head down left;torso slightly bend down, head down towards left, eyes blue;disappointed++;;iconic, metaphoric, deictic;;;;
slouch, head down right;torso slightly bend down, head down towards right, eyes blue;disappointed++;;iconic, metaphoric, deictic;;;;
looking up;head moving upwards, no movement;inspired+;;iconic, metaphoric, deictic;;;;
struck;knees bent, leaning torso backwards, arms open to the side, moving body back then forth;attacked+++,repelled+++;;iconic, metaphoric;;;;
hands stroke head;both arms raised, elbows out, hands move across head, head slightly down, eyes green;inspired--;;iconic, metaphoric;;;;
squat open arms;knees bent, crouching with torso upright and both arms opening to the sides;;;iconic, metaphoric;;;;
scratch chin;left hand in front torso, right hand up at chin, hand opening and closing 3 times, eyes blue;inspired++;;iconic, metaphoric;;;;
folded arms, legs close;legs slightly closer, slightly bent knees, hands closed and stacked in front of torso;repelled+;;iconic, metaphoric;;;;
waiting impatiently;looking at wrist, up and down;inspired--;;iconic, metaphoric;;;;
afraid;raising both hands moving torso backwards;repelled++;;iconic, metaphoric;;;;
scratch forehead;move hand horizontally in front of forehead with small slouch;inspired-;;iconic, metaphoric;;;;
scratching head;running hands back and forth above head;inspired-;;iconic, metaphoric;;;;
hanging behind;hold both hands with palm front slightly closed in front of torso with slightly bent legs;attacked+;;iconic, metaphoric;;;;
scratch torso;moving hand across torso repeatedly;;;iconic, metaphoric;;;;
binoculars;holding both closed hands in front of eyes forming invisible binoculars;attracted+;;iconic, metaphoric, deictic;;;;
head banging;throwing both arms up high shaking whole body back and forth, banging head back and forth;inspired++;;iconic, metaphoric;;;;
zombie impression;raising both arms straight to front, wobbling on the spot;;repelled+;iconic, metaphoric;;;;
drawing heart, pointing;shaping heart into air with both hands in front of body, followed by a straight pointing gesture;attracted+++;;iconic, metaphoric, deictic;;;;
cheers;raising hand to air and then to mouth;respected+;;iconic, metaphoric;;;;
scratch bottom;slight crouch, one hand moves to back, and scratches bottom;;disrespected+;iconic, metaphoric;;;;
scratch eye;repeated movement, opening and closing of hand in front of eye;;;iconic, metaphoric;;;;
scratch leg;repeated movement, opening and closing of hand at leg;;;iconic, metaphoric;;;;
grabbing;both arms reaching out in grabbing move;attracted++;;iconic, metaphoric;;;;
short bow;short bow;;respected++, supported+;iconic, metaphoric;;;;
salute;one hand moves up to head and has palm open downwards;;respected+++;iconic, metaphoric;;;;
thanking, begging;both hands move together with palms in front of body, slightly shaking up and down;;respected+;iconic, metaphoric;;;;
scared, shocked;torso falling back, one hand in front of eyes, other arm stretched out with palm to front;repelled+++, attacked++;;iconic, metaphoric;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;0;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
